date,geography,geography code,Ethnic group: Total: All usual residents,"Ethnic group: Asian, Asian British or Asian Welsh","Ethnic group: Asian, Asian British or Asian Welsh: Bangladeshi","Ethnic group: Asian, Asian British or Asian Welsh: Chinese","Ethnic group: Asian, Asian British or Asian Welsh: Indian","Ethnic group: Asian, Asian British or Asian Welsh: Pakistani","Ethnic group: Asian, Asian British or Asian Welsh: Other Asian","Ethnic group: Black, Black British, Black Welsh, Caribbean or African","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: African","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: Caribbean","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: Other Black",Ethnic group: Mixed or Multiple ethnic groups,Ethnic group: Mixed or Multiple ethnic groups: White and Asian,Ethnic group: Mixed or Multiple ethnic groups: White and Black African,Ethnic group: Mixed or Multiple ethnic groups: White and Black Caribbean,Ethnic group: Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,Ethnic group: White,"Ethnic group: White: English, Welsh, Scottish, Northern Irish or British",Ethnic group: White: Irish,Ethnic group: White: Gypsy or Irish Traveller,Ethnic group: White: Roma,Ethnic group: White: Other White,Ethnic group: Other ethnic group,Ethnic group: Other ethnic group: Arab,Ethnic group: Other ethnic group: Any other ethnic group
2021,Norfolk,E10000020,916120,18992,1480,3666,6577,1136,6133,8369,6002,1190,1177,15080,4389,3210,3200,4281,867151,814728,4049,1266,756,46352,6528,1428,5100
2021,North Yorkshire,E10000023,615490,8317,331,1574,2031,1037,3344,2456,1491,536,429,6720,2495,983,1435,1807,595154,574065,2681,550,347,17511,2843,562,2281
2021,Nottinghamshire,E10000024,824820,24523,888,3890,10344,5013,4388,9932,5255,3268,1409,17103,4601,1806,7203,3493,767224,729289,4019,732,564,32620,6038,1554,4484
2021,Oxfordshire,E10000025,725294,46389,3030,8249,12530,10995,11585,14883,9616,3327,1940,22611,8008,2924,5144,6535,630054,557149,6906,652,1229,64118,11357,2520,8837
2021,Somerset,E10000027,571547,8658,683,1663,2947,331,3034,2436,1658,457,321,7137,2448,1215,1561,1913,550847,521829,2631,809,507,25071,2469,377,2092
2021,Staffordshire,E10000028,876104,28910,962,2536,9449,11090,4873,6889,3288,2647,954,15288,4462,1307,6719,2800,820233,789993,3749,610,569,25312,4784,829,3955
2021,Suffolk,E10000029,760687,17483,2727,2440,5280,1200,5836,10168,5068,2781,2319,17807,3805,2980,5832,5190,708271,664205,3990,905,987,38184,6958,782,6176
2021,Surrey,E10000030,1203105,92911,5229,11034,35090,17887,23671,20834,13570,4771,2493,40483,15909,4966,7577,12031,1028636,921285,14111,2600,1673,88967,20241,5253,14988
2021,Warwickshire,E10000031,596773,37321,601,3114,24290,3156,6160,8016,4874,2104,1038,13533,4616,1474,4530,2913,531674,490070,5540,388,651,35025,6229,780,5449
2021,West Sussex,E10000032,882670,38288,3283,3471,13989,7328,10217,11429,7266,2047,2116,20811,7070,3518,4172,6051,803516,743568,6761,1208,1086,50893,8626,1815,6811
2021,Worcestershire,E10000034,603676,18511,1711,1794,5576,6553,2877,4151,1963,1595,593,11173,3482,1119,4319,2253,566484,535492,3579,1514,410,25489,3357,557,2800
2021,Isle of Anglesey,W06000001,68879,430,40,108,94,22,166,104,68,17,19,598,191,78,156,173,67587,66339,381,54,33,780,160,58,102
2021,Gwynedd,W06000002,117392,1968,199,580,484,209,496,513,373,82,58,1333,438,179,371,345,112987,109548,554,111,45,2729,591,314,277
2021,Conwy,W06000003,114743,1651,179,433,373,195,471,271,162,60,49,1254,457,189,326,282,111176,107926,843,104,19,2284,391,116,275
2021,Denbighshire,W06000004,95820,1650,115,337,332,166,700,268,179,44,45,1052,350,162,313,227,92488,90470,484,62,32,1440,362,119,243
2021,Flintshire,W06000005,154960,1455,109,374,395,128,449,292,174,62,56,1446,506,240,331,369,151232,144356,630,123,74,6049,535,92,443
2021,Wrexham,W06000006,135122,2246,276,304,538,283,845,878,654,87,137,1558,446,392,382,338,129677,122547,427,119,64,6520,763,219,544
2021,Ceredigion,W06000008,71473,1096,76,320,325,145,230,366,252,74,40,867,292,128,190,257,68776,65674,430,57,29,2586,368,138,230
2021,Pembrokeshire,W06000009,123359,1159,146,221,243,77,472,244,147,55,42,1162,400,163,282,317,120375,116816,701,574,34,2250,419,93,326
